"hg1";"hg2";"distance"
"B2t";"B2t";"0"
"B2u";"B2u";"0"
"B2v";"B2";"1"
"B2w";"B2w";"0"
"B2x";"B2x";"0"
"B2y";"B2";"1"
"B2y1";"B2y1";"0"
"B4";"B4";"0"
"B4'5";"R";"2"
"B4+16261";"B4";"1"
"B4a";"B4a";"0"
"B4a1";"B4a1";"0"
"B4a1+16311";"B4a1";"1"
"B4a1+16311*";"B4a1+16311*";"0"
"B4a1a";"B4a1a";"0"
"B4a1a1";"B4a1a";"1"
"B4a1a1*1";"B4a1a1*1";"0"
"B4a1a1*2";"B4a1a1*2";"0"
"B4a1a1+151";"B4a1a";"2"
"B4a1a1+152";"B4a1a";"2"
"B4a1a1+16126";"B4a1a1+16126";"0"
"B4a1a1a";"B4a1a";"2"
"B4a1a1a*1";"B4a1a";"3"
"B4a1a1a*2";"B4a1a";"3"
"B4a1a1a*3";"B4a1a";"3"
"B4a1a1a+195";"B4a1a";"3"
"B4a1a1a1";"B4a1a";"3"
"B4a1a1a10";"B4a1a";"3"
"B4a1a1a11";"B4a1a";"3"
"B4a1a1a11a";"B4a1a";"4"
"B4a1a1a11b";"B4a1a";"4"
"B4a1a1a12";"B4a1a";"3"
"B4a1a1a13";"B4a1a1a13";"0"
"B4a1a1a14";"B4a1a1a14";"0"
"B4a1a1a15";"B4a1a";"3"
"B4a1a1a15*";"B4a1a1a15*";"0"
"B4a1a1a16";"B4a1a";"3"
"B4a1a1a17";"B4a1a";"3"
"B4a1a1a18";"B4a1a1a18";"0"
"B4a1a1a19";"B4a1a";"3"
"B4a1a1a1a";"B4a1a";"4"
"B4a1a1a1a1";"B4a1a";"5"
"B4a1a1a1a1*";"B4a1a1a1a1*";"0"
"B4a1a1a1b";"B4a1a";"4"
"B4a1a1a1c";"B4a1a1a1c";"0"
"B4a1a1a1d";"B4a1a1a1d";"0"
"B4a1a1a2";"B4a1a";"3"
"B4a1a1a2*";"B4a1a";"4"
"B4a1a1a20";"B4a1a";"3"
"B4a1a1a21";"B4a1a";"3"
"B4a1a1a22";"B4a1a1a22";"0"
"B4a1a1a23";"B4a1a";"4"
"B4a1a1a2a";"B4a1a1a2a";"0"
"B4a1a1a2b";"B4a1a1a2b";"0"
"B4a1a1a3";"B4a1a1a3";"0"
"B4a1a1a4";"B4a1a1a4";"0"
"B4a1a1a5";"B4a1a";"3"
"B4a1a1a6";"B4a1a";"3"
"B4a1a1a7";"B4a1a";"3"
"B4a1a1a8";"B4a1a1a8";"0"
"B4a1a1a9";"B4a1a1a9";"0"
"B4a1a1aa";"B4a1a";"2"
"B4a1a1ab";"B4a1a";"2"
"B4a1a1ac";"B4a1a";"2"
"B4a1a1ad";"B4a1a1ad";"0"
"B4a1a1ae";"B4a1a";"2"
"B4a1a1af";"B4a1a";"2"
"B4a1a1b";"B4a1a1b";"0"
"B4a1a1c";"B4a1a1c";"0"
"B4a1a1d";"B4a1a";"2"
"B4a1a1e";"B4a1a";"2"
"B4a1a1f";"B4a1a";"2"
"B4a1a1g";"B4a1a";"2"
"B4a1a1g*";"B4a1a1g*";"0"
"B4a1a1h";"B4a1a1h";"0"
"B4a1a1i";"B4a1a";"2"
"B4a1a1j";"B4a1a";"2"
"B4a1a1k";"B4a1a1k";"0"
"B4a1a1k1";"B4a1a1k1";"0"
"B4a1a1m";"B4a1a1m";"0"
"B4a1a1m1";"B4a1a1m";"1"
"B4a1a1n";"B4a1a";"2"
"B4a1a1n*";"B4a1a1n*";"0"
"B4a1a1o";"B4a1a";"3"
"B4a1a1p";"B4a1a";"2"
"B4a1a1q";"B4a1a";"2"
"B4a1a1r";"B4a1a1+16126";"1"
"B4a1a1s";"B4a1a";"2"
"B4a1a1t";"B4a1a";"2"
"B4a1a1u";"B4a1a";"2"
"B4a1a1v";"B4a1a";"2"
"B4a1a1w";"B4a1a";"2"
"B4a1a1x";"B4a1a1x";"0"
"B4a1a1y";"B4a1a";"2"
"B4a1a1z";"B4a1a";"2"
"B4a1a2";"B4a1a2";"0"
"B4a1a3";"B4a1a";"1"
"B4a1a3a";"B4a1a";"2"
"B4a1a3a1";"B4a1a";"3"
"B4a1a3a1*";"B4a1a3a1*";"0"
"B4a1a3a1a";"B4a1a";"4"
"B4a1a4";"B4a1a4";"0"
"B4a1a5";"B4a1a";"1"
"B4a1a5a";"B4a1a";"2"
"B4a1a6";"B4a1a6";"0"
"B4a1a6a";"B4a1a6a";"0"
"B4a1a7";"B4a1a";"1"
"B4a1b";"B4a1b";"0"
"B4a1b1";"B4a1b";"1"
"B4a1b1a";"B4a1b";"2"
"B4a1c";"B4a1";"1"
"B4a1c*";"B4a1c*";"0"
"B4a1c+146";"B4a1";"2"
"B4a1c1";"B4a1";"2"
"B4a1c1a";"B4a1";"3"
"B4a1c1a1";"B4a1c1a1";"0"
"B4a1c2";"B4a1";"3"
"B4a1c3";"B4a1";"2"
"B4a1c3a";"B4a1c3a";"0"
"B4a1c3b";"B4a1";"3"
"B4a1c4";"B4a1c4";"0"
"B4a1c4*";"B4a1c4*";"0"
"B4a1c5";"B4a1c5";"0"
"B4a1d";"B4a1";"1"
"B4a1e";"B4a1";"2"
"B4a2";"B4a";"1"
"B4a2a";"B4a";"2"
"B4a2a1";"B4a2a1";"0"
"B4a2a2";"B4a2a2";"0"
"B4a2a3";"B4a";"3"
"B4a2b";"B4a";"2"
"B4a2b1";"B4a";"3"
"B4a2b1a";"B4a";"4"
"B4a3";"B4a3";"0"
"B4a4";"B4a4";"0"
"B4a4*";"B4a4*";"0"
"B4a5";"B4a5";"0"
"B4b";"B4b";"0"
"B4b'd'e'j";"B4b'd'e'j";"0"
"B4b1";"B4b1";"0"
"B4b1a";"B4b1a";"0"
"B4b1a+207";"B4b1a";"1"
"B4b1a1";"B4b1a1";"0"
"B4b1a1a";"B4b1a1";"1"
"B4b1a1b";"B4b1a1b";"0"
"B4b1a1c";"B4b1a1";"1"
"B4b1a2";"B4b1a";"2"
"B4b1a2a";"B4b1a2a";"0"
"B4b1a2a*";"B4b1a2a*";"0"
"B4b1a2b";"B4b1a";"3"
"B4b1a2b1";"B4b1a";"4"
"B4b1a2b2";"B4b1a2b2";"0"
"B4b1a2c";"B4b1a2c";"0"
"B4b1a2d";"B4b1a2d";"0"
"B4b1a2e";"B4b1a";"3"
"B4b1a2f";"B4b1a2f";"0"
"B4b1a2g";"B4b1a";"3"
"B4b1a2g1";"B4b1a";"4"
"B4b1a2h";"B4b1a2h";"0"
"B4b1a2i";"B4b1a";"3"
"B4b1a3";"B4b1a3";"0"
"B4b1a3a";"B4b1a3a";"0"
"B4b1b";"B4b1b";"0"
"B4b1b'c";"B4b1";"1"
"B4b1c";"B4b1";"2"
"B4b1c1";"B4b1c1";"0"
"B4b1c2";"B4b1";"3"
"B4c";"B4";"1"
"B4c1";"B4c1";"0"
"B4c1a";"B4c1a";"0"
"B4c1a'b";"B4c1";"1"
"B4c1a1";"B4c1a1";"0"
"B4c1a1a";"B4c1a1a";"0"
"B4c1a1a1";"B4c1a1a";"1"
"B4c1a1a1a";"B4c1a1a1a";"0"
"B4c1a1a2";"B4c1a1a";"1"
"B4c1a1b";"B4c1a1";"1"
"B4c1a1c";"B4c1a1";"1"
"B4c1a2";"B4c1a2";"0"
"B4c1a2a";"B4c1a2";"1"
"B4c1b";"B4c1";"2"
"B4c1b+16335";"B4c1b+16335";"0"
"B4c1b1";"B4c1";"3"
"B4c1b1a";"B4c1b1a";"0"
"B4c1b2";"B4c1b2";"0"
"B4c1b2*";"B4c1b2";"1"
"B4c1b2a";"B4c1b2";"1"
"B4c1b2a1";"B4c1b2a1";"0"
"B4c1b2a2";"B4c1b2a2";"0"
"B4c1b2a2*1";"B4c1b2a2*1";"0"
"B4c1b2a2*2";"B4c1b2a2*2";"0"
"B4c1b2a2*3";"B4c1b2a2";"1"
"B4c1b2a2a";"B4c1b2a2";"1"
"B4c1b2a2b";"B4c1b2a2";"1"
"B4c1b2b";"B4c1b2";"1"
"B4c1b2c";"B4c1b2c";"0"
"B4c1b2c1";"B4c1b2c1";"0"
"B4c1b2c2";"B4c1b2c2";"0"
"B4c1c";"B4c1c";"0"
"B4c1c+16311";"B4c1c";"1"
"B4c1c1";"B4c1c";"2"
"B4c2";"B4g1a";"6"
"B4c2a";"B4g1a";"7"
"B4c2b";"B4g1a";"7"
"B4c2c";"B4g1a";"7"
"B4d";"B4d";"0"
"B4d1";"B4d1";"0"
"B4d1'2'3";"B4d1'2'3";"0"
"B4d1*";"B4d1*";"0"
"B4d1a";"B4d1";"1"
"B4d2";"B4d2";"0"
"B4d3";"B4d3";"0"
"B4d3a";"B4d3";"1"
"B4d3a*";"B4d3a*";"0"
"B4d3a1";"B4d3";"2"
"B4d3a1*";"B4d3a1*";"0"
"B4d4";"B4d4";"0"
"B4e";"B4e";"0"
"B4f";"B4f";"0"
"B4f1";"B4f";"1"
"B4g";"B4";"2"
"B4g1";"B4";"3"
"B4g1a";"B4g1a";"0"
"B4g1b";"B4g1b";"0"
"B4g2";"B4";"3"
"B4h";"B4h";"0"
"B4h1";"B4h1";"0"
"B4h1*";"B4h1";"1"
"B4i";"B4";"2"
"B4i*";"B4i*";"0"
"B4i1";"B4i1";"0"
"B4j";"B4j";"0"
"B4k";"B4";"2"
"B4m";"B4m";"0"
"B5";"B5";"0"
"B5a";"B5a";"0"
"B5a*";"B5a*";"0"
"B5a1";"B5a1";"0"
"B5a1a";"B5a1a";"0"
"B5a1a1";"B5a1a";"1"
"B5a1b";"B5a1b";"0"
"B5a1b1";"B5a1b";"1"
"B5a1c";"B5a1";"1"
"B5a1c1";"B5a1";"2"
"B5a1c1a";"B5a1";"3"
"B5a1c1a1";"B5a1";"4"
"B5a1c1a1*";"B5a1";"5"
"B5a1c2";"B5a1c2";"0"
"B5a1d";"B5a1d";"0"
"B5a1d*1";"B5a1d*1";"0"
"B5a1d*2";"B5a1d";"1"
"B5a2";"B5a";"1"
"B5a2a";"B5a2a";"0"
"B5a2a1";"B5a2a";"1"
"B5a2a1+16129";"B5a2a1+16129";"0"
"B5a2a1a";"B5a2a1a";"0"
"B5a2a1b";"B5a2a1+16129";"1"
"B5a2a2";"B5a2a";"1"
"B5a2a2a";"B5a2a2a";"0"
"B5a2a2a1";"B5a2a2a1";"0"
"B5a2a2a2";"B5a2a2a";"1"
"B5a2a2b";"B5a2a";"2"
"B5a2a2b1";"B5a2a2b1";"0"
"B5a2a2b1a";"B5a2a2b1a";"0"
"B5a2a2b2";"B5a2a2b2";"0"
"B5b";"B5b";"0"
"B5b1";"B5b";"1"
"B5b1a";"B5b1a";"0"
"B5b1a*";"B5b1a*";"0"
"B5b1a1";"B5b1a1";"0"
"B5b1a2";"B5b1a2";"0"
"B5b1a2a";"B5b1a2";"1"
"B5b1c";"B5b1c";"0"
"B5b1c1";"B5b1c";"1"
"B5b1c1*";"B5b1c1*";"0"
"B5b1c1a";"B5b1c";"2"
"B5b2";"B5b2";"0"
"B5b2+@204";"B5b2";"1"
"B5b2a";"B5b2a";"0"
"B5b2a1";"B5b2a";"1"
"B5b2a2";"B5b2a2";"0"
"B5b2a2*";"B5b2a2*";"0"
"B5b2a2a";"B5b2a2";"1"
"B5b2a2a1";"B5b2a2";"2"
"B5b2a2a2";"B5b2a2a2";"0"
"B5b2b";"B5b2";"1"
"B5b2b*";"B5b2";"2"
"B5b2c";"B5b2c";"0"
"B5b2c1";"B5b2c";"1"
"B5b3";"B5b3";"0"
"B5b3a";"B5b3";"1"
"B5b3a*";"B5b3a*";"0"
"B5b3b";"B5b3b";"0"
"B5b4";"B5b";"1"
"B5b5";"B5b5";"0"
"B6";"B6";"0"
"B6a";"B6a";"0"
"B6a1";"B6a1";"0"
"B6a1a";"B6a1a";"0"
"C";"C";"0"
"C1";"C";"1"
"C1a";"C1a";"0"
"C1a*";"C1a*";"0"
"C1b";"C";"2"
"C1b*1";"C1b*1";"0"
"C1b*2";"C1b*2";"0"
"C1b*3";"C1b*3";"0"
"C1b*4";"C1b*4";"0"
"C1b+16311";"C";"3"
"C1b1";"C";"3"
"C1b1*";"C1b1*";"0"
