"hg1";"hg2";"distance"
"B4h1";"HV4a2";"11"
"B4h1*";"HV4a2";"12"
"B4i";"HV2";"9"
"B4i*";"HV2";"10"
"B4i1";"HV2";"10"
"B4j";"B4j";"0"
"B4k";"HV2";"9"
"B4m";"B4m";"0"
"B5";"B5";"0"
"B5a";"B5";"1"
"B5a*";"B5";"2"
"B5a1";"B5";"2"
"B5a1a";"B5";"3"
"B5a1a1";"B5";"4"
"B5a1b";"B5a1b";"0"
"B5a1b1";"B5a1b";"1"
"B5a1c";"B5";"3"
"B5a1c1";"B5";"4"
"B5a1c1a";"B5";"5"
"B5a1c1a1";"B5";"6"
"B5a1c1a1*";"B5";"7"
"B5a1c2";"B5a1c2";"0"
"B5a1d";"B5";"3"
"B5a1d*1";"B5";"4"
"B5a1d*2";"B5";"4"
"B5a2";"B5";"2"
"B5a2a";"B5a2a";"0"
"B5a2a1";"B5a2a";"1"
"B5a2a1+16129";"B5a2a1+16129";"0"
"B5a2a1a";"B5a2a";"2"
"B5a2a1b";"B5a2a1+16129";"1"
"B5a2a2";"B5a2a";"1"
"B5a2a2a";"B5a2a";"2"
"B5a2a2a1";"B5a2a";"3"
"B5a2a2a2";"B5a2a";"3"
"B5a2a2b";"B5a2a";"2"
"B5a2a2b1";"B5a2a";"3"
"B5a2a2b1a";"B5a2a";"4"
"B5a2a2b2";"B5a2a";"3"
"B5b";"B5";"1"
"B5b1";"B5";"2"
"B5b1a";"B5";"3"
"B5b1a*";"B5b1a*";"0"
"B5b1a1";"B5";"4"
"B5b1a2";"B5b1a2";"0"
"B5b1a2a";"B5b1a2";"1"
"B5b1c";"B5";"3"
"B5b1c1";"B5";"4"
"B5b1c1*";"B5";"5"
"B5b1c1a";"B5";"5"
"B5b2";"B5";"2"
"B5b2+@204";"B5";"3"
"B5b2a";"B5";"3"
"B5b2a1";"B5";"4"
"B5b2a2";"B5b2a2";"0"
"B5b2a2*";"B5b2a2";"1"
"B5b2a2a";"B5b2a2";"1"
"B5b2a2a1";"B5b2a2";"2"
"B5b2a2a2";"B5b2a2a2";"0"
"B5b2b";"B5";"3"
"B5b2b*";"B5";"4"
"B5b2c";"B5";"4"
"B5b2c1";"B5";"5"
"B5b3";"B5";"2"
"B5b3a";"B5b3a";"0"
"B5b3a*";"B5b3a";"1"
"B5b3b";"B5b2a2";"5"
"B5b4";"B5";"2"
"B5b5";"B5";"2"
"B6";"HV";"5"
"B6a";"R0a2n";"11"
"B6a1";"R0a2n";"12"
"B6a1a";"B6a1a";"0"
"C";"C";"0"
"C1";"C";"1"
"C1a";"C1a";"0"
"C1a*";"C1a*";"0"
"C1b";"C";"2"
"C1b*1";"C1b*1";"0"
"C1b*2";"C";"3"
"C1b*3";"C";"3"
"C1b*4";"C";"3"
"C1b+16311";"C";"3"
"C1b1";"C";"3"
"C1b1*";"C";"4"
"C1b10";"C1b10";"0"
"C1b10*1";"C1b10";"1"
"C1b10*2";"C1b10";"1"
"C1b11";"C";"3"
"C1b11*";"C1b11*";"0"
"C1b11*1";"C1b11*1";"0"
"C1b11*1a";"C1b11*1";"1"
"C1b11*2";"C1b11*2";"0"
"C1b12";"C";"3"
"C1b13";"C";"3"
"C1b13a";"C";"4"
"C1b13a1";"C";"5"
"C1b13b";"C";"4"
"C1b13c";"C";"4"
"C1b13c1";"C";"5"
"C1b13d";"C";"4"
"C1b13e";"C";"4"
"C1b14";"C1b14";"0"
"C1b14*";"C1b14";"1"
"C1b2";"C";"3"
"C1b3";"C1b3";"0"
"C1b4";"C1b4";"0"
"C1b5";"C";"3"
"C1b5a";"C";"4"
"C1b5b";"C";"4"
"C1b5b*";"C";"5"
"C1b6";"C";"3"
"C1b7";"C";"4"
"C1b7*1";"C";"5"
"C1b7*2";"C";"5"
"C1b7a";"C";"5"
"C1b7a*1";"C";"6"
"C1b7a*2";"C";"6"
"C1b8";"C";"3"
"C1b8*";"C";"4"
"C1b8a";"C";"4"
"C1b9";"C";"3"
"C1c";"C1c";"0"
"C1c*1";"C1c*1";"0"
"C1c*2";"C1c*2";"0"
"C1c*3";"C1c";"1"
"C1c*4";"C1c";"1"
"C1c*5";"C1c*5";"0"
"C1c*6";"C1c";"1"
"C1c+195";"C1c";"1"
"C1c+195*";"C1c";"2"
"C1c1";"C1c1";"0"
