"ArrayType" "ClusterID" "SNPs" "AUC_Normalized" "Mean_Distance" "n" "Tier" "Population" "Mean_Match_Score"
"GenomeWideSNP_6" 6 411 0.934015984774477 2.04550447199121 6373 "2. Good" "P17_Fu1" 0.75941471834301
"GenomeWideSNP_6.na31" 6 455 0.936354479330644 1.97301114075004 6373 "2. Good" "P17_Fu1" 0.766475757100267
"GenomeWideSNP_6.na33" 6 327 0.91858799471561 2.5237721638161 6373 "2. Good" "P17_Fu1" 0.711948846697003
"GSA-24v1-0_A1" 7 138 0.874703259213517 3.88419896438098 6373 "2. Good" "P17_Fu1" 0.602306605994037
"GSA-24v1-0_C1" 7 133 0.872607725130718 3.94916052094775 6373 "2. Good" "P17_Fu1" 0.599678330456614
"GSA-24v2-0_A1" 5 1013 0.969822284537084 0.935509179350384 6373 "1. High" "P17_Fu1" 0.856896281186254
"GSA-24v3-0_A2" 5 979 0.966476516351746 1.03922799309587 6373 "1. High" "P17_Fu1" 0.845677075160835
"GSAMD-24v1-0_20011747_A1" 7 140 0.874850047832843 3.87964851718186 6373 "2. Good" "P17_Fu1" 0.602777341911188
"GSAMD-24v2-0_20024620_A1" 5 1229 0.980993404635483 0.589204456300016 6373 "1. High" "P17_Fu1" 0.896241958261415
"Human1-2M-DuoCustom_v1_A" 3 122 0.90188446217156 3.04158167268163 6373 "2. Good" "P17_Fu1" 0.685469951357289
"Human1M-Duov3_B" 3 122 0.902243841205084 3.0304409226424 6373 "2. Good" "P17_Fu1" 0.685783775302056
"Human1Mv1_C" 3 157 0.913440269686125 2.68335163973011 6373 "2. Good" "P17_Fu1" 0.713753334379413
"HumanCore-12-v1-0-B" 7 191 0.909527593729595 2.80464459438255 6373 "2. Good" "P17_Fu1" 0.697591401223913
"humancore-24-v1-0-a" 7 190 0.910377955386383 2.77828338302212 6373 "2. Good" "P17_Fu1" 0.701514200533501
"HumanCoreExome-12-v1-0-D" 8 396 0.945698334202254 1.68335163973011 6373 "2. Good" "P17_Fu1" 0.790483288874941
"HumanCoreExome-12-v1-1-C" 8 391 0.94190207680588 1.80103561901773 6373 "2. Good" "P17_Fu1" 0.778754118939275
"HumanCoreExome-24v1-0_A" 8 369 0.936455712861214 1.96987290130237 6373 "2. Good" "P17_Fu1" 0.762670641769967
"HumanExome-12v1_A" 9 223 0.908105262625087 2.84873685862231 6373 "2. Good" "P17_Fu1" 0.684175427585125
"HumanExome-12v1-1_A" 9 216 0.903170128009799 3.00172603169622 6373 "2. Good" "P17_Fu1" 0.671857837753021
"HumanExome-12v1-2_A" 9 215 0.898037588009901 3.16083477169308 6373 "2. Good" "P17_Fu1" 0.637494115801036
"HumanOmni1-Quad_v1-0_B" 10 24 0.708128546337118 9.04801506354935 6373 "4. Poor" "P17_Fu1" 0.302134002824415
"HumanOmni1S-8v1_H" 3 85 0.87870704534756 3.76008159422564 6373 "2. Good" "P17_Fu1" 0.620194570845756
"HumanOmni2-5-8-v1-0-D" 7 235 0.928407647180899 2.21936293739212 6373 "2. Good" "P17_Fu1" 0.745841832731837
"HumanOmni2-5-8-v1-1-C" 7 218 0.920369704853642 2.46853914953711 6373 "2. Good" "P17_Fu1" 0.724462576494587
"HumanOmni2-5-8-v1-2-A" 7 177 0.891011980988343 3.37862858936137 6373 "2. Good" "P17_Fu1" 0.640279303310843
"HumanOmni2-5Exome-8-v1-1-A" 8 380 0.933960306332664 2.04723050368743 6373 "2. Good" "P17_Fu1" 0.754158167268163
"HumanOmni2.5S-8v1_B" 1 31 0.631555503813973 11.4217793817668 6373 "4. Poor" "P17_Fu1" 0.246312568648988
"HumanOmni25Exome-8v1_A" 8 384 0.937933722407536 1.92405460536639 6373 "2. Good" "P17_Fu1" 0.763886709555939
"HumanOmni5-4-v1-0-D" 7 253 0.931110582447118 2.13557194413934 6373 "2. Good" "P17_Fu1" 0.755491919033422
"HumanOmni5-4v1-1_A" 7 208 0.912458304439597 2.71379256237251 6373 "2. Good" "P17_Fu1" 0.69362937392123
"HumanOmni5Exome-4v1_A" 8 421 0.946255118620389 1.66609132276793 6373 "2. Good" "P17_Fu1" 0.789345677075161
"HumanOmni5Exome-4v1-1_A" 8 417 0.947282638955675 1.63423819237408 6373 "2. Good" "P17_Fu1" 0.793111564412365
"HumanOmni5Exome-4v1-2_A" 8 369 0.936258307476602 1.97599246822533 6373 "2. Good" "P17_Fu1" 0.751569119723835
"HumanOmniExpressExome-8-v1-0-B" 9 227 0.905690842920992 2.92358386944924 6373 "2. Good" "P17_Fu1" 0.687588262984466
"HumanOmniExpressExome-8-v1-1-C" 9 215 0.903048647773115 3.00549191903342 6373 "2. Good" "P17_Fu1" 0.671818609759925
"HumanOmniZhongHua-8v1_B" 7 142 0.719704600557797 8.6891573827083 6373 "4. Poor" "P17_Fu1" 0.398242585909305
"humanomnizhonghua-8v1-1_a" 7 137 0.70316304166266 9.20194570845756 6373 "4. Poor" "P17_Fu1" 0.363918091950416
"HumanOmniZhongHua-8v1-2_A" 7 124 0.682293749335655 9.8488937705947 6373 "4. Poor" "P17_Fu1" 0.317079868193943
"Immuno_BeadChip_11419691_B" 1 1 0.523483648253975 14.7720069041268 6373 "4. Poor" "P17_Fu1" 0.0975207908363408
"InfiniumCore-24v1-1_A1" 7 179 0.903575062132079 2.98917307390554 6373 "2. Good" "P17_Fu1" 0.679036560489565
"InfiniumCore-24v1-2_A1" 7 184 0.904729124380577 2.9533971442021 6373 "2. Good" "P17_Fu1" 0.680527224227209
"InfiniumCoreExome-24v1-1_A" 8 374 0.939320621776345 1.88106072493331 6373 "2. Good" "P17_Fu1" 0.765769653224541
"InfiniumCoreExome-24v1-2_A1" 8 387 0.942387997752616 1.78597206966892 6373 "2. Good" "P17_Fu1" 0.775341283539934
"InfiniumCoreExome-24v1-3_A1" 8 390 0.94240824445873 1.78534442177938 6373 "2. Good" "P17_Fu1" 0.775458967519222
"InfiniumExome-24v1-1_A1" 9 207 0.896316617990211 3.21418484230347 6373 "2. Good" "P17_Fu1" 0.649340969715989
"InfiniumOmni2-5-8v1-3_A1" 7 203 0.907842055445605 2.85689628118625 6373 "2. Good" "P17_Fu1" 0.691001098383807
"InfiniumOmni2-5-8v1-4_A1" 7 207 0.909542778759181 2.8041738584654 6373 "2. Good" "P17_Fu1" 0.688568962811863
"InfiniumOmni2-5Exome-8v1-3_A1" 8 379 0.935944483531835 1.9857210105131 6373 "2. Good" "P17_Fu1" 0.76302369370783
"InfiniumOmni2-5Exome-8v1-4_A1" 8 388 0.936921387101836 1.95543699984309 6373 "2. Good" "P17_Fu1" 0.759336262356818
"InfiniumOmni2-5Exome-8v1-5_A1" 8 380 0.935534487733027 1.99843088027617 6373 "2. Good" "P17_Fu1" 0.75447199121293
"InfiniumOmni2.5Exome-8v1-2_A" 8 351 0.931292802802144 2.12992311313353 6373 "2. Good" "P17_Fu1" 0.74705790051781
"InfiniumOmni5-4v1-2_A1" 7 233 0.922444992230326 2.40420524085988 6373 "2. Good" "P17_Fu1" 0.72034363721952
"InfiniumOmni5Exome-4v1-3_A1" 8 400 0.944589827042513 1.7177153616821 6373 "2. Good" "P17_Fu1" 0.778871802918563
"InfiniumOmniExpressExome-8v1-3_A" 9 215 0.900775955011819 3.07594539463361 6373 "2. Good" "P17_Fu1" 0.662992311313353
"InfiniumOmniExpressExome-8v1-4_A1" 9 208 0.896093904222957 3.22108896908834 6373 "2. Good" "P17_Fu1" 0.648360269888593
"InfiniumOmniExpressExome-8v1-6_A1" 9 215 0.897582037122336 3.17495684920759 6373 "2. Good" "P17_Fu1" 0.652793033108426
"InfiniumOmniZhongHua-8v1-3_A1" 7 123 0.679018844621716 9.95041581672682 6373 "4. Poor" "P17_Fu1" 0.311705633139809
"InfiniumOmniZhongHua-8v1-4_A1" 7 129 0.7487080070661 7.79005178095089 6373 "4. Poor" "P17_Fu1" 0.39106386317276
"InfiniumPsychArray-24v1-1_A1" 8 341 0.934086848245876 2.04330770437784 6373 "2. Good" "P17_Fu1" 0.744664992938961
"InfiniumPsychArray-24v1-2_A1" 8 379 0.939786296016967 1.86662482347403 6373 "2. Good" "P17_Fu1" 0.769339400596265
"InfiniumPsychArray-24v1-3_A1" 8 370 0.939194079863132 1.8849835242429 6373 "2. Good" "P17_Fu1" 0.767534912913855
"Multi-EthnicAMR-AFR-8v1-0_A1" 5 685 0.941643931302926 1.80903812960929 6373 "2. Good" "P17_Fu1" 0.780872430566452
"Multi-EthnicGlobal_A1" 5 885 0.956540445326301 1.34724619488467 6373 "1. High" "P17_Fu1" 0.818609759924682
"Multi-EthnicGlobal_D1" 5 822 0.954672686687285 1.40514671269418 6373 "1. High" "P17_Fu1" 0.812372509022438
"OncoArray-500K_B" 1 136 0.87611040528844 3.84057743605837 6373 "2. Good" "P17_Fu1" 0.648634865840264
"PsychArray_A" 8 339 0.929025171717376 2.20021967676134 6373 "2. Good" "P17_Fu1" 0.736387886395732
"PsychChip_v1-1_15073391_A1" 8 408 0.948507564675572 1.59626549505727 6373 "2. Good" "P17_Fu1" 0.797308959673623
