"hg1";"hg2";"distance"
"L2b1b*";"L2b1b*";"0"
"L2b2*2";"L2b'c";"3"
"L2b2a";"L2b2a";"0"
"L2b3b";"L2b'c";"3"
"L2b3c*";"L2b'c";"4"
"L2c2";"L2c";"1"
"L2c2a1";"L2c";"3"
"L2c2b1b";"L2c";"4"
"L2c3*1";"L2c";"2"
"L2c3a";"L2c";"2"
"L2d1a";"L2d";"3"
"L2e1*1a";"L2e";"3"
"L2e1a";"L2e";"2"
"L3";"P2";"6"
"L3a1";"HV1d";"8"
"L3a1a";"HV";"7"
"L3a1b";"L3a1b";"0"
"L3a2";"V22";"12"
"L3a2a";"V22";"13"
"L3b1a7a";"L3b";"5"
"L3b1b";"L3b";"2"
"L3b2a";"L3b";"2"
"L3c";"HV";"6"
"L3d";"R2a";"9"
"L3d1a1a";"HV";"12"
"L3d1a1a1";"HV";"13"
"L3d1b";"HV1d";"11"
"L3d1b1";"HV";"10"
"L3d1c";"HV";"9"
"L3d1d";"HV";"9"
"L3d2b";"HV1d";"11"
"L3d3a1";"HV";"10"
"L3d3b";"L3h1a2a1";"11"
"L3d4";"HV";"8"
"L3d4a";"HV";"9"
"L3d5a*";"R23";"9"
"L3e1";"L3e1";"0"
"L3e1a1a";"L3e1";"3"
"L3e1b1";"L3e1";"2"
"L3e1b2";"L3e1b2";"0"
"L3e1c";"L3e1";"1"
"L3e1d1a";"L3e1";"3"
"L3e1e1";"L3e1e";"1"
"L3e1f1a";"L3e1";"3"
"L3e2a";"B4g1a";"13"
"L3e2b";"B4g1a";"13"
"L3e3a";"HV";"10"
"L3e3b";"HV";"10"
"L3e4a";"HV";"10"
"L3e5";"HV";"8"
"L3f1a";"L3h1a2a1";"10"
"L3f1b+16292";"HV";"9"
"L3f2a1*1";"HV";"10"
"L3f2a1a";"HV";"10"
"L3f2b";"HV";"8"
"L3f3";"B4a3";"11"
"L3f3a";"HV";"8"
"L3h1a1";"HV1d";"10"
"L3h1b1";"N3";"6"
"L3h1b1a*4";"N13";"8"
"L3h2";"HV";"6"
"L3i1a";"L3i1a";"0"
"L3i1b";"L3i1b";"0"
"L3i2*2";"HV";"8"
"L3k";"HV";"6"
"L3k1";"HV";"7"
"L3x1+16311";"HV1d";"10"
"L3x1a2";"HV1d";"11"
"L3x1b";"B4c1b2a2*1";"19"
"L3x2a*";"L3x2";"2"
"L3x2b";"L3x2b";"0"
"L3x2b*";"L3x2b";"1"
"L4a1a";"R2a";"12"
"L4a1a*";"R2a";"13"
"L4a2";"L4a2";"0"
"L4b1a*2";"L4b1a*2";"0"
"L4b2a";"R2a";"12"
"L5a1a";"L5a";"2"
"L5a1b*";"L5a";"3"
"L5a2";"L5a";"1"
"L5b1";"L5b1";"0"
"L5b1a";"L5b1";"1"
"L5b1b";"L5b1";"1"
"L5b2";"L5b2";"0"
"L6a";"L4b";"5"
"L6b";"L4b";"5"
"M1a";"HV";"8"
"M2a1*2";"HV";"10"
"M7a+16324";"HV";"8"
"M7b1b";"M7b'c";"3"
"M8a1";"HV";"8"
"M9a";"HV";"8"
"N1a1a";"HV";"9"
"N1b2";"HV";"7"
"N2a";"B4c1b2a2*2";"15"
"N9a7";"F1a1a1*1";"14"
"R5a1";"HV";"5"
"R8a1a";"R8a1a";"0"
"R9b";"HV";"4"
"T1a";"T";"2"
"U1a1*";"U1";"3"
"W1";"W";"1"
"X3a";"X";"4"
"X4";"X";"1"
"Y1a";"P2";"9"
