"hg1";"hg2";"distance"
"L2b2*2";"L2b2";"1"
"L2b2a";"L2b2";"1"
"L2b3b";"L2b";"2"
"L2b3c*";"L2b";"3"
"L2c2";"L2b'c";"2"
"L2c2a1";"L2c2a";"1"
"L2c2b1b";"L2c2b1b";"0"
"L2c3*1";"L2b'c";"3"
"L2c3a";"L2b'c";"3"
"L2d1a";"L2d";"3"
"L2e1*1a";"L2e1*1a";"0"
"L2e1a";"L2e1a";"0"
"L3";"L3*";"1"
"L3a1";"L3x";"4"
"L3a1a";"L3";"3"
"L3a1b";"L3x1+16311";"7"
"L3a2";"L3";"3"
"L3a2a";"L3a2a";"0"
"L3b1a7a";"L3b1";"4"
"L3b1b";"L3b1";"1"
"L3b2a";"L3b2a";"0"
"L3c";"L3c";"0"
"L3d";"L3d";"0"
"L3d1a1a";"L3d1a1a";"0"
"L3d1a1a1";"L3d1a1a";"1"
"L3d1b";"L3d1'2'3'4'5'6";"2"
"L3d1b1";"L3d1'2'3'4'5'6";"3"
"L3d1c";"L3d1'2'3'4'5'6";"2"
"L3d1d";"L3d1b*1";"3"
"L3d2b";"L3d2";"1"
"L3d3a1";"L3d3a";"1"
"L3d3b";"L3d1'2'3'4'5'6";"2"
"L3d4";"L3d1b1b";"5"
"L3d4a";"L3d1b1b";"6"
"L3d5a*";"L3d1b1b";"7"
"L3e1";"L3e1a1";"2"
"L3e1a1a";"L3e1a1";"1"
"L3e1b1";"L3e1b1";"0"
"L3e1b2";"L3e1b2";"0"
"L3e1c";"L3e1c";"0"
"L3e1d1a";"L3e1";"3"
"L3e1e1";"L3e1e";"1"
"L3e1f1a";"L3e1f1";"1"
"L3e2a";"L3e2a";"0"
"L3e2b";"L3e2b";"0"
"L3e3a";"L3e3";"1"
"L3e3b";"L3e3";"1"
"L3e4a";"L3e3'4'5";"3"
"L3e5";"L3e3'4'5";"1"
"L3f1a";"L3f1a";"0"
"L3f1b+16292";"L3f1b";"1"
"L3f2a1*1";"L3a1";"8"
"L3f2a1a";"L3a1";"8"
"L3f2b";"L3a1";"6"
"L3f3";"L3f3";"0"
"L3f3a";"L3f3";"1"
"L3h1a1";"L3h1a1";"0"
"L3h1b1";"L3h1b";"1"
"L3h1b1a*4";"L3h1b";"3"
"L3h2";"L3h2";"0"
"L3i1a";"L3i1a";"0"
"L3i1b";"L3i1";"1"
"L3i2*2";"L3a1";"6"
"L3k";"L3k";"0"
"L3k1";"L3k";"1"
"L3x1+16311";"L3x2a";"4"
"L3x1a2";"L3x1a";"1"
"L3x1b";"L3x1b";"0"
"L3x2a*";"L3x2a";"1"
"L3x2b";"L3x";"2"
"L3x2b*";"L3x";"3"
"L4a1a";"L4a1";"1"
"L4a1a*";"L4a1";"2"
"L4a2";"L4a2";"0"
"L4b1a*2";"L4b1a*2";"0"
"L4b2a";"L4b2";"1"
"L5a1a";"L5a";"2"
"L5a1b*";"L5a1b*";"0"
"L5a2";"L5a";"1"
"L5b1";"L5b1";"0"
"L5b1a";"L5b1";"1"
"L5b1b";"L5b1";"1"
"L5b2";"L5b2*";"1"
"L6a";"L6";"1"
"L6b";"L6";"1"
"M1a";"M1a";"0"
"M2a1*2";"M2a1*2";"0"
"M7a+16324";"M7";"2"
"M7b1b";"M7b1";"1"
"M8a1";"M8a";"1"
"M9a";"G2a";"8"
"N1a1a";"N1a1a";"0"
"N1b2";"N1b2";"0"
"N2a";"N2a";"0"
"N9a7";"N";"3"
"R5a1";"R5a1";"0"
"R8a1a";"R8a";"2"
"R9b";"R9c1a";"4"
"T1a";"T1";"1"
"U1a1*";"U1a1*";"0"
"W1";"W";"1"
"X3a";"X";"4"
"X4";"X4";"0"
"Y1a";"Y";"2"
